Program,Code,Title,Sec,Room 1,Room 2,Day 1,Day 2,Time 1,Time 2,Faculty,Initial,Credits
BSCSE,BDS 1201,History of the Emergence of Bangladesh,BD,303,303,Sun,Wed,07:11:PM - 08:30:PM,07:11:PM - 08:30:PM,Masud Rana,MRana,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,BE,304,304,Sat,Tue,07:11:PM - 08:30:PM,07:11:PM - 08:30:PM,Al Jamal Mustafa Shindaini,AJMSh,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,BF,304,304,Sun,Wed,07:11:PM - 08:30:PM,07:11:PM - 08:30:PM,Al Jamal Mustafa Shindaini,AJMSh,2
BSCSE,BIO 1201,Biology for Engineers,A,505,505,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Muhammad Shafiul Alam,MSAm,3
BSCSE,BIO 1201,Biology for Engineers,B,505,505,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Muhammad Shafiul Alam,MSAm,3
BSCSE,BIO 1201,Biology for Engineers,C,506,506,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Abdullah-Al-Faruque,MdAFq,3
BSCSE,BIO 1201,Biology for Engineers,D,506,506,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Abdullah-Al-Faruque,MdAFq,3
BSCSE,BIO 1201,Biology for Engineers,E,505,505,Sat,Tue,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Md. Abdullah-Al-Faruque,MdAFq,3
BSCSE,BIO 1201,Biology for Engineers,F,505,505,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Md. Abdullah-Al-Faruque,MdAFq,3
BSCSE,BIO 1201,Biology for Engineers,G,506,506,Sat,Tue,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Muhammad Shafiul Alam,MSAm,3
BSCSE,BIO 1201,Biology for Engineers,H,506,506,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Muhammad Shafiul Alam,MSAm,3
BSCSE,BME 4311,Biomedical Instrumentation,A,503,503,Sat,Tue,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Mohammad Shahinur Islam,MSIm,3
BSCSE,BME 4311,Biomedical Instrumentation,B,503,503,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Mohammad Shahinur Islam,MSIm,3
BSCSE,BME 4312,Biomedical Instrumentation Laboratory,A,"703 (VLSI Lab)",N/A,Sat,N/A,04:31:PM - 07:00:PM, - ,Dr. Mohammad Shahinur Islam,MSIm,1
BSCSE,BME 4312,Biomedical Instrumentation Laboratory,B,"703 (VLSI Lab)",N/A,Sun,N/A,04:31:PM - 07:00:PM, - ,Dr. Mohammad Shahinur Islam,MSIm,1
BSCSE,CE 3313,Communication Theory,A,501,501,Sat,Tue,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 3313,Communication Theory,B,501,501,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 3313,Communication Theory,C,502,502,Sat,Tue,04:31:PM - 05:50:PM,04:31:PM - 05:50:PM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 3313,Communication Theory,D,502,502,Sun,Wed,04:31:PM - 05:50:PM,04:31:PM - 05:50:PM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 3314,Communication Laboratory,A,"606 (Digital Logic Design Lab)",N/A,Sat,N/A,04:31:PM - 07:00:PM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CE 3314,Communication Laboratory,B,"606 (Digital Logic Design Lab)",N/A,Sun,N/A,04:31:PM - 07:00:PM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CE 4301,Computer Networks,A,403,403,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4301,Computer Networks,B,403,403,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4301,Computer Networks,C,404,404,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4301,Computer Networks,D,404,404,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4301,Computer Networks,E,405,405,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4301,Computer Networks,F,405,405,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Tahmid Mosaddeque,TaMo,3
BSCSE,CE 4302,Computer Networks Laboratory,A,"927 (Computer Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Tahmid Mosaddeque,TaMo,1
BSCSE,CE 4302,Computer Networks Laboratory,B,"927 (Computer Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Tahmid Mosaddeque,TaMo,1
BSCSE,CE 4302,Computer Networks Laboratory,C,"927 (Computer Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Tahmid Mosaddeque,TaMo,1
BSCSE,CE 4302,Computer Networks Laboratory,D,"927 (Computer Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Tahmid Mosaddeque,TaMo,1
BSCSE,CE 4302,Computer Networks Laboratory,E,"927 (Computer Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Tahmid Mosaddeque,TaMo,1
BSCSE,CE 4302,Computer Networks Laboratory,F,"927 (Computer Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Tahmid Mosaddeque,TaMo,1
